fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2018-2019,May,04,ASSAM,0402,KOKRAJHAR,408086,169.207280690024,23,137,0,213,48,7455,299120,3561,5362,119587,121053,0,506.132818,12902,26705,113995,324159,39,188544,488381,7668,506.132818,127100,60,48.64,41.06,104.39,NA
2018-2019,May,04,ASSAM,0403,BONGAIGAON,204877,129.281739861851,11,8,118.546283876,206,12,4933,78466,4605,13065,1527,3516,0,219.988493876,6905,9392,64672,178579,0,114802,290570,5139,101.44221,28698,63,93.6,78.27,108.6,NA
2018-2019,May,04,ASSAM,0404,GOALPARA,157636,159.060842773653,14,30,71.165653677,428,1,7293,330409,10928,6750,92652,45681,0,596.716993677,23584,32367,71320,178191,0,149114,317343,7721,525.55134,144249,84,93.15,79.94,100.33,NA
2018-2019,May,04,ASSAM,0412,Morigaon,313490,150.131379102595,32,53,0,41,9,10057,1236565,96433,27780,36837,32105,0,1856.472088,38006,68863,124657,264270,48,174018,344373,10098,1856.472088,523633,77,29.75,93.1,103.35,NA
2018-2019,May,04,ASSAM,0419,KARBI ANGLONG,280586,186.380045049596,9,16,8.434794648,198,0,7095,168259,4953,8854,136721,150615,0,322.035994648,18280,19481,100259,196180,0,145136,269544,7293,313.6012,75424,71,91.47,80.17,104.39,NA
2018-2019,May,04,ASSAM,0421,KARIMGANJ,236420,294.811438997303,12,2,0,267,18,7839,25212,4257,22445,295,1823,0,74.32786,1981,1989,103852,151947,0,214965,285056,8106,74.32786,10568,72,82.94,78.22,101.71,NA
2018-2019,May,04,ASSAM,0429,HOJAI,0,67.7253713386701,15,5,88.657090098,80,38,2074,21611,9326,18279,1490,4589,0,103.293220098,1363,2440,64398,112622,0,102875,173729,2154,14.63613,8577,43,57.4,45.52,109.35,NA
2018-2019,May,04,ASSAM,0430,CHARAIDEO,0,147.699061662198,10,3,10.8734715,156,15,1559,17904,116,1177,199,2070,0,37.3175115,1685,2063,37364,73402,0,64018,111875,1715,26.44404,6639,54,96.17,79.93,104.29,NA
2020-2021,Jan,04,ASSAM,0401,DHUBRI,3770140,194.367874407772,36,171,2512.838376689,5871,0,17291,3819472,33426,3752,1983,283,0,9936.664916689,103563,170553,186655,453720,1403,290723,634417,23162,7423.82654,1629622,74,84.97,78.09,100.13,NA
2020-2021,Jan,04,ASSAM,0403,BONGAIGAON,1404249,203.325229414762,28,71,622.282245685,1724,0,5995,1401174,76172,13302,21227,3059,0,3471.222495685,48746,72789,77140,196009,567,133947,311925,7719,2848.94025,595419,77,40.07,67.58,100.01,NA
2020-2021,Jan,04,ASSAM,0409,SONITPUR,2430358,204.727842665192,29,57,272.200435882,6305,0,9440,2428223,59547,7000,129835,14493,0,5243.448998882,81665,101248,129157,227013,499,201275,315466,15745,4971.248563,1134531,73,63.02,63.56,100.45,NA
2020-2021,Jan,04,ASSAM,0413,NAGAON,3955570,206.846962526433,35,138,2243.976778214,8691,0,20155,3949664,130648,16150,74269,11965,0,10413.736792214,112027,146065,189846,308009,2802,316556,476424,28846,8169.760014,1602763,86,62.39,62.87,99.87,NA
2020-2021,Jan,04,ASSAM,0418,TINSUKIA,1652700,202.951527908816,24,54,179.910941183,2752,1,11367,1651342,23292,2923,93085,17316,0,3531.334761183,68448,82769,107429,175157,269,185340,268267,14119,3351.42382,730259,87,93.29,66.84,101.58,NA
2020-2021,Jan,04,ASSAM,0420,Dima Hasao,700071,196.138092303106,37,13,328.49907587,3487,0,4099,697658,10041,790,628182,56865,6.47,1703.34216787,18845,24895,25991,62248,190,34749,79711,7586,1368.373092,251266,80,69.76,58.64,105.25,NA
2020-2021,Jan,04,ASSAM,0421,KARIMGANJ,3267523,198.079794405851,32,96,1574.274196012,3441,0,12025,3263517,319273,27838,24019,2239,0,8038.641960012,100450,118206,150098,209637,1329,255111,329297,15466,6464.367764,1201067,71,93.89,84.29,100.35,NA
2020-2021,Jan,04,ASSAM,0424,BAKSA,1492007,206.49706350399,25,115,2432.419079628,4489,0,11307,1490552,127529,22400,538454,114454,0,5510.365189628,59486,72876,149293,268264,171,251719,421636,15796,3077.94611,785509,88,73.25,57.83,100.14,NA
2020-2021,Jan,04,ASSAM,0425,CHIRANG,1512046,207.632370562378,31,23,2416.122980773,1475,0,2214,1508043,76288,11488,699101,81802,0,5547.308410773,47224,71143,82584,183191,600,116216,246004,3689,3131.18543,734473,77,42.55,77.66,99.68,NA
2020-2021,Jan,04,ASSAM,0426,KAMRUP (METRO),116896,202.493807280514,19,1,0,648,0,731,116750,19539,6169,32279,9482,0,236.41152,6077,7033,13455,28917,13,47391,90707,1379,236.41152,61814,83,81.77,73.51,105.45,NA
2018-2019,Jan,04,ASSAM,0401,DHUBRI,2963020,188.127315689722,30,144,1541.159747997,429,0,11826,1460472,19521,2962,951,161,23.89488,4312.601397997,47314,94480,99487,295288,77,206089,504569,12255,2747.54677,574227,84,41.02,65.44,131.73,NA
2018-2019,Jan,04,ASSAM,0403,BONGAIGAON,1030074,166.08705650677,22,35,520.506593676999,1372,0,4353,605308,39668,12875,6956,3223,9.75,1535.594833677,26778,39239,65065,176524,91,117418,290912,5725,1005.33824,234484,66,80.28,62.2,103.69,NA
2018-2019,Jan,04,ASSAM,0409,SONITPUR,2340338,178.060969723251,17,29,268.998819039,1421,0,3934,562676,23373,6494,47941,12478,49.74324,1320.648401039,32211,33072,94722,168379,2,157205,253182,5355,1001.906342,225916,68,63.04,47.35,104.1,NA
2018-2019,Jan,04,ASSAM,0412,Morigaon,1576157,189.628816864403,44,89,346.554106007,2320,0,9050,3429235,291529,27694,247995,31894,8.83,6858.201864007,77655,134659,125817,264451,1773,176543,346981,11370,6502.817758,1423994,75,37.07,68.2,103.56,NA
2018-2019,Jan,04,ASSAM,0413,NAGAON,3254268,177.828638027035,29,93,1441.771399724,2517,0,6366,2284480,124716,14410,55162,11752,45.22687,5549.457939724,77939,100802,159560,253493,596,254098,386485,8883,4062.45967,823088,63,59.31,56.99,100.13,NA
2018-2019,Jan,04,ASSAM,0414,GOLAGHAT,1792609,184.400920799223,20,38,823.145802466,4258,0,8995,846873,56601,12980,178533,33674,22.782,2407.569412466,40771,56404,117747,249186,77,169601,342009,13253,1561.64161,346907,81,58.21,43.66,100.25,NA
2018-2019,Jan,04,ASSAM,0421,KARIMGANJ,1188668,165.295167371506,26,47,158.006494732,912,0,8987,1360357,154010,22353,14744,1816,9.87,2416.480874732,51818,60486,103422,150975,26,214309,284262,9899,2248.60438,468609,75,83.14,72.48,107.42,NA
2018-2019,Jan,04,ASSAM,0423,CACHAR,2057667,174.86224144182,27,20,2236.366464895,1530,1,11224,1048120,79604,14710,17036,3231,42.5285,4111.661089895,37745,39827,140603,188485,17,268838,342365,12754,1832.766125,244840,78,56.97,42.15,117.74,NA
2018-2019,Jan,04,ASSAM,0428,Biswanath,0,178.623877535659,19,254,55.407421622,982,0,3389,531420,37485,13154,123577,26583,0,1004.650431622,27175,32650,79508,153940,19,133080,237253,4371,949.24301,224879,68,72.58,58.5,106.99,NA
2018-2019,Jan,04,ASSAM,0432,MAJULI,0,184.695255846166,22,11,47.276558746,803,0,2040,294552,32066,5927,143707,32693,0,591.300128746,13304,19205,27168,63097,19,36394,77057,2843,544.02357,106719,85,88.69,61.33,108.78,NA
2018-2019,June,04,ASSAM,0402,KOKRAJHAR,680143,176.531067476063,24,160,0,229,31,7980,442305,5297,5343,176037,120505,0,780.805738,17876,35486,113586,322668,45,188382,487240,8209,780.805738,188124,63,58.1,47.63,105.21,NA
2018-2019,June,04,ASSAM,0403,BONGAIGAON,341461,176.759078390454,12,15,118.546283876,234,3,4979,152863,8125,13061,2643,3515,0,388.745513876,11836,16186,64706,178590,0,114866,290624,5213,270.19923,54507,63,96.9,79.12,106.99,NA
2018-2019,June,04,ASSAM,0404,GOALPARA,262727,178.38957292871,17,65,77.979645227,445,1,7446,503382,15239,6766,141891,45717,0,975.960645227,28443,39964,71421,178275,0,149435,317770,7891,897.981,217808,84,93.62,81.1,100.22,NA
2018-2019,Feb,04,ASSAM,0405,BARPETA,3299064,183.685060019569,32,2293,1713.791827376,1627,0,16449,3283679,89453,10457,41208,3810,27.64345,7773.063019376,100698,171831,149813,350991,487,293473,627913,18076,6031.627742,1296590,69,61.69,62.55,122.91,NA
2018-2019,Feb,04,ASSAM,0406,NALBARI,1695818,181.155275274495,34,35,941.362292593,2276,0,4437,1671695,49411,5349,25770,3425,15.14,3984.86597159297,48294,60129,74758,137448,741,150721,252385,6713,3028.36367899997,576207,52,50.22,52.52,100.62,NA
2018-2019,Feb,04,ASSAM,0410,LAKHIMPUR,1968727,176.797397502066,40,224,2661.262491561,2150,0,12054,3117697,137484,13757,979563,85516,18.66187,8191.931519561,76372,139207,113050,294150,4161,209062,454082,14204,5512.007158,1494388,77,52.8,61.45,103.9,NA
2018-2019,Feb,04,ASSAM,0413,NAGAON,3434062,177.062119889417,30,97,1441.771399724,2702,0,6481,2609438,144868,14468,64918,11742,45.22687,6107.324509724,84960,109863,161059,255628,822,256905,390565,9183,4620.32624,940231,63,60.05,57.07,100.13,NA
2018-2019,Feb,04,ASSAM,0415,JORHAT,1557108,163.479633060403,19,44,240.182590029001,2454,0,2410,725460,44971,7735,86261,11906,18.1019,1444.263836029,36750,41059,75039,123595,38,134115,200614,4864,1185.979346,336979,54,83.56,76.04,100.92,NA
2018-2019,Feb,04,ASSAM,0418,TINSUKIA,1477814,178.970209671043,25,61,311.315824263,1489,1,4907,1042204,17193,2483,97948,15766,11.5291,2188.079608263,40965,49989,83575,142620,240,152241,228538,6396,1865.234684,427976,71,88.65,73.27,100.38,NA
2018-2019,Feb,04,ASSAM,0419,KARBI ANGLONG,1488662,179.307768306604,17,36,275.466828538,1312,0,11228,840093,26520,8980,695335,153743,20.25613,1802.074968538,47395,52061,102773,200265,97,152504,281951,12540,1506.35201,390173,80,66.86,46.22,107.93,NA
2018-2019,Feb,04,ASSAM,0421,KARIMGANJ,1254341,164.951829419777,29,58,158.006494732,928,0,9436,1867696,214681,22346,18706,1816,9.87,3248.675214732,63752,74210,103553,151092,138,215290,285372,10364,3080.79872,631549,74,85.62,75.27,107.25,NA
2018-2019,Feb,04,ASSAM,0422,HAILAKANDI,1842950,199.008471565648,19,42,1375.977080856,786,0,3067,568608,31961,11614,1571,2511,6.1,2513.655170856,28919,32675,81709,159173,11,129959,233730,3853,1131.57809,149724,69,44.21,46.6,119.26,NA
2018-2019,Feb,04,ASSAM,0423,CACHAR,2171350,166.511508264371,29,24,2236.366464895,1772,0,12287,1353158,108874,14692,22240,3229,42.5285,4532.058759895,46519,49050,140461,188045,50,271024,344421,14059,2253.163795,316498,79,56.73,41.08,117.99,NA
2018-2019,Feb,04,ASSAM,0430,CHARAIDEO,0,173.31945625111,16,30,15.4798015,713,0,1416,264681,5496,1210,5983,2104,0,474.2234715,16231,20134,38476,74949,54,66090,114946,2129,458.74367,108312,54,75.17,70.38,106.27,NA
2018-2019,March,04,ASSAM,0414,GOLAGHAT,1980785,188.836455030536,21,75,1111.772240373,8287,0,5926,1439121,92253,13010,270045,33655,36.982,3866.339320373,65779,88095,118954,250633,268,172920,346785,14213,2717.58508,586299,80,65.18,53.9,100.32,NA
2018-2019,March,04,ASSAM,0419,KARBI ANGLONG,1558809,188.868332867545,18,44,463.685997272,2415,0,10776,1134277,36081,8978,933399,154095,29.75613,2635.732187272,62348,68418,103135,200734,138,153864,283868,13191,2142.29006,528454,77,72.43,55.16,106.35,NA
2018-2019,March,04,ASSAM,0421,KARIMGANJ,1313446,190.762463997299,31,63,355.078434414,1481,0,9282,2322048,261086,22335,21097,1815,22.97,4807.644414414,74103,85596,103734,151078,521,216469,286557,10763,4429.59598,770723,72,87.47,78.37,105.86,NA
2019-2020,Feb,04,ASSAM,0416,SIVASAGAR,515025,180.476223592246,17,71,94.5064705779999,720,0,3336,543543,24169,5590,35069,11014,0,1075.472350578,31965,41491,60995,126621,68,112491,206194,4056,980.96588,239767,66,79.21,75.76,100.39,NA
2019-2020,Feb,04,ASSAM,0419,KARBI ANGLONG,1159568,180.119501978701,21,54,264.8903777,3652,0,11746,1210390,37445,9067,1026001,162079,0,2445.0388177,57526,67543,107652,209640,40,163231,299313,15398,2180.14844,576692,80,87.23,69.05,106.87,NA
2019-2020,Feb,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,829478,169.096684012165,31,10,169.978139099,519,0,1328,681637,14118,767,2319,141,0,1322.603703099,21628,23875,30318,40966,327,58761,77667,1847,1152.625564,362507,77,63.43,95.22,128.36,NA
2019-2020,Feb,04,ASSAM,0432,MAJULI,966450,196.098712815524,41,19,185.551969789,1077,0,815,976550,116118,6330,391885,33228,0,2100.553949789,23804,37727,30037,65362,974,37113,76059,1892,1915.00198,387648,90,82.86,75.67,102.8,NA
2019-2020,Jan,04,ASSAM,0402,KOKRAJHAR,1898452,190.807298126862,38,266,481.772198533,2263,0,7543,1888649,35919,5429,668752,114192,0,4085.452326533,49231,95064,117687,321109,195,197568,495132,9806,3603.680128,835069,83,64.75,76.48,107.28,NA
2019-2020,Jan,04,ASSAM,0404,GOALPARA,487013,181.800229541775,18,54,60.319496748,65,0,7678,477473,13876,7000,111553,47017,0,928.366506748,25151,35172,75634,183284,33,157090,326399,7743,868.04701,212399,92,78.62,70.91,100.54,NA
2019-2020,Jan,04,ASSAM,0409,SONITPUR,2193993,182.856117050325,31,55,299.017097189998,1770,0,8968,2188187,57558,6684,111889,13435,0,4300.25087919,70042,115503,110430,199649,125,180581,289066,10738,4001.233782,928962,73,55.16,81.17,104.32,NA
2019-2020,Jan,04,ASSAM,0418,TINSUKIA,527050,185.319713249172,18,41,161.562259994,1077,1,8087,517104,8294,2567,45472,15425,0,1119.857909994,28276,35451,87845,147687,60,167790,247532,9164,958.29565,226245,85,81.94,82.28,100.44,NA
2019-2020,Jan,04,ASSAM,0424,BAKSA,1818076,192.958704757441,23,115,253.591835358,2418,0,12867,1817868,128303,23701,709473,119772,14.2,3775.526382358,76572,90776,155610,279730,43,245296,412207,15285,3507.734547,885047,89,68.56,67.2,100.94,NA
2019-2020,Jan,04,ASSAM,0425,CHIRANG,1776479,189.772158609399,35,32,434.740840776,1632,0,2483,1767638,93248,11992,860840,84017,0,3789.225629776,50272,75802,83821,187384,629,113014,241967,4115,3354.484789,829378,83,53.77,69.87,101.75,NA
2019-2020,Jan,04,ASSAM,0426,KAMRUP (METRO),126892,184.918222011685,31,1,10.809782664,1255,0,1018,126660,40812,5389,28113,7507,0,245.027202664,4038,5266,11567,24373,0,44858,86293,2273,234.21742,53442,95,98.63,18.74,99.99,NA
2019-2020,Jan,04,ASSAM,0428,Biswanath,1125156,188.056842969829,25,490,69.989313458,748,0,4935,1124994,65668,13456,232128,30453,0,2185.617513458,44515,68427,84853,167032,40,143129,254347,5683,2115.6282,507171,82,57.74,76.59,110.81,NA
2018-2019,April,04,ASSAM,0402,KOKRAJHAR,181372,135.831326394772,18,111,0,165,79,6712,132208,1456,5366,54205,121260,0,179.57988,7207,14979,113866,324308,0,188137,488015,6877,179.57988,55209,56,37.78,35.18,105.12,NA
2018-2019,April,04,ASSAM,0408,DARRANG,129883,224.700960818567,8,8,5.67342,579,12,6004,48084,1435,5944,157,800,0,113.71863,5994,7649,79761,189838,0,160241,329527,6583,108.04521,17806,68,62.79,54.55,101.19,NA
2018-2019,April,04,ASSAM,0411,DHEMAJI,142844,115.066388914571,15,16,110.359499903,163,10,3848,173056,2198,11388,122645,162790,0,309.488789903,10996,19868,87746,340253,0,132906,454272,4011,199.12929,78016,46,85.46,61.27,99.92,NA
2018-2019,April,04,ASSAM,0426,KAMRUP (METRO),12769,50.6302640970735,7,0,0,12,16,1464,4203,594,5736,1639,7862,0,2.12799,553,674,11833,25330,0,43661,85286,1476,2.12799,2405,94,63.58,70.15,100,NA
2018-2019,April,04,ASSAM,0427,UDALGURI,238196,87.9254331500207,7,2,607.243706978,344,9,6893,101466,1863,11376,43815,103393,0,696.458126978,13236,15072,121618,257910,0,166469,332317,7237,89.21442,40562,45,68.56,64.24,99.34,NA
2018-2019,April,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,0,0,0,0,10.797984187,0,29,437,0,0,514,0,75,0,10.797984187,0,0,14192,21054,0,37967,54448,437,0,0,49,57.82,57.82,0,NA
2018-2019,Oct,04,ASSAM,0401,DHUBRI,2259098,213.839673654811,25,107,1541.159747997,374,0,11388,862890,13270,2973,663,162,23.89488,3410.255787997,33579,66478,98403,294985,12,201996,499445,11762,1845.20116,341491,84,56.72,57.91,142.2,NA
2018-2019,Oct,04,ASSAM,0412,Morigaon,1201711,190.129788797968,40,88,346.554106007,873,0,10150,2957642,250664,27770,193469,31891,8.83,5978.742594007,72338,124197,125535,264228,1131,175386,345104,11023,5623.358488,1230095,76,34.51,71.16,102.69,NA
2018-2019,Oct,04,ASSAM,0418,TINSUKIA,1067740,189.986677748085,19,34,311.315824263,1259,1,4707,391045,7096,2461,44807,15490,11.5291,1065.778328263,20469,24219,81039,139429,14,146826,221446,5966,742.933404,146532,73,84.23,48.59,100.57,NA
2018-2019,Oct,04,ASSAM,0421,KARIMGANJ,906278,164.4605523925,18,38,158.006494732,718,0,8609,674629,76586,22357,7118,1818,9.87,1277.375074732,35750,41980,103326,150897,4,213073,282879,9327,1109.49858,234434,76,78.99,69.24,103.29,NA
2020-2021,April,04,ASSAM,0401,DHUBRI,6238,557.961205514588,21,1,0,3,119,11300,6238,0,3721,7,232,0,34.80562,286,533,160084,413348,0,233698,544318,11303,34.80562,2351,65,12.23,69.07,100,NA
2020-2021,April,04,ASSAM,0404,GOALPARA,1,0,0,0,0,4,76,8604,0,0,7455,0,51854,0,1.41662,0,0,82641,199419,0,159860,329997,8608,1.41662,0,90,79.26,80.05,0,NA
2020-2021,April,04,ASSAM,0406,NALBARI,1432,7625.98687150838,5,0,0,120,51,4712,1432,15,6881,0,4325,0,109.204132,245,398,106798,190505,0,161520,268626,4832,109.204132,599,59,74.14,88.17,100,NA
2020-2021,April,04,ASSAM,0408,DARRANG,2646,43.469387755102,4,0,0,1,59,5921,2646,50,6527,59,927,0,1.1502,656,910,94563,215345,0,171123,338985,5922,1.1502,1124,80,47.38,28.74,99.77,NA
2020-2021,April,04,ASSAM,0413,NAGAON,801,251.637952559301,4,0,0,15,149,16031,801,0,15616,36,11791,0,2.01562,182,230,180143,293374,0,285680,431638,16046,2.01562,313,89,48.98,85.23,100,NA
2020-2021,April,04,ASSAM,0414,GOLAGHAT,2105,148.096912114014,3,1,0,4,82,10979,2105,65,14056,8,34909,0,3.11744,604,819,130426,269333,0,185715,363312,10983,3.11744,924,92,12.33,8.47,100,NA
2020-2021,April,04,ASSAM,0424,BAKSA,2511,299.300278773397,3,0,0,39,71,13071,2511,112,22527,1581,114093,0,7.51543,723,756,148031,268207,0,246411,413410,13110,7.51543,1313,89,63.82,69.31,100,NA
2020-2021,April,04,ASSAM,0425,CHIRANG,696,1469.24137931034,3,0,0,82,25,2292,696,8,11415,373,81552,0,10.22592,225,262,81135,182219,0,113200,242147,2374,10.22592,246,76,4.83,4.83,100,NA
2020-2021,April,04,ASSAM,0426,KAMRUP (METRO),2220,5.94864864864865,5,0,0,6,17,1000,2220,418,6122,317,9390,0,0.13206,389,439,13161,28463,0,44965,86470,1006,0.13206,1173,87,93.59,48.72,100,NA
2020-2021,April,04,ASSAM,0427,UDALGURI,148,86.3513513513514,2,0,0,116,111,9590,148,0,11545,56,102013,0,0.1278,58,74,128451,259322,0,179964,344571,9706,0.1278,56,60,47.38,53.13,100,NA
2020-2021,April,04,ASSAM,0428,Biswanath,18577,15.2252247402702,11,11,0,19,68,6083,18577,213,14155,1685,33356,0,2.82839,1612,2304,92633,183718,0,144264,256202,6102,2.82839,6911,83,80.92,11.51,99.94,NA
2020-2021,March,04,ASSAM,0406,NALBARI,4164126,214.790372041307,49,46,2187.153728366,3084,0,5024,4174644,88857,6924,37897,4332,22.6,11176.4871073661,83613,117165,114718,200940,6564,175917,288183,8108,8966.73337900008,1713362,60,50.97,65.11,101.47,NA
2020-2021,March,04,ASSAM,0409,SONITPUR,2941654,214.59474421819,32,73,687.950738522,7014,0,10863,2951930,77229,6995,157187,14624,0,7022.637371522,90943,113836,130241,228911,913,204537,320394,17877,6334.686633,1394875,74,63.48,66.72,100.51,NA
2020-2021,March,04,ASSAM,0412,Morigaon,3373337,211.475462800667,34,142,2747.858430596,2885,0,17738,3371754,366111,29294,364819,33439,0,9878.290806596,98673,140449,137158,277559,1753,202940,376285,20623,7130.432376,1502726,84,69.68,77.91,99.93,NA
2020-2021,March,04,ASSAM,0416,SIVASAGAR,910278,213.656652600122,19,113,168.246388773,1670,0,2482,913515,44160,6584,62465,12484,31.6,2151.631958773,45691,60989,68911,141089,203,119300,216728,4152,1951.78557,406295,67,78.33,81.44,100.01,NA
2020-2021,March,04,ASSAM,0421,KARIMGANJ,4435250,211.298508789374,37,109,1596.399551108,4031,0,12994,4430293,450069,27844,29597,2239,0,10957.542595108,116849,140327,150331,209836,3982,258274,332676,17025,9361.143044,1665758,71,92.75,85.82,100.45,NA
2020-2021,March,04,ASSAM,0424,BAKSA,1885656,213.800447679956,24,135,2571.185598596,5586,0,11295,1910740,163250,22397,724227,114507,0,6656.356272596,76608,93833,149595,268403,312,256655,428587,16881,4085.170674,1000860,88,70.98,62.75,100.43,NA
2020-2021,March,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,2147888,213.944645746256,39,17,459.269493735001,1245,0,1337,1908025,29739,1119,7379,223,0,4541.386820735,48089,52148,55497,68211,588,100201,120759,2582,4082.117327,1107566,69,65,78.98,100.14,NA
2018-2019,Sep,04,ASSAM,0406,NALBARI,1083192,183.03807889757,26,27,584.006319796999,1710,0,4506,957013,30948,5345,17730,3432,7.7,2343.404529797,36599,45097,74202,136899,272,147543,248497,6216,1751.69821,321174,53,56.58,54.99,100.97,NA
2018-2019,Sep,04,ASSAM,0416,SIVASAGAR,856156,192.663801986028,15,11,24.818619464,647,2,1781,88317,4853,5273,16285,10536,12.31,207.283509464,5881,7344,57069,120002,0,103783,193311,2428,170.15489,29101,55,86.42,57.36,102.92,NA
2018-2019,Sep,04,ASSAM,0418,TINSUKIA,943944,195.878379136372,19,32,311.315824263,1241,1,4522,331601,6327,2459,38471,15462,11.5291,972.379588263,17045,20399,80564,138844,6,146081,220490,5763,649.534664,125570,74,82.9,46.88,100.64,NA
2018-2019,Sep,04,ASSAM,0425,CHIRANG,696959,156.593865308937,19,22,1161.72105879,662,0,4141,537957,32515,11652,297992,83274,18.1999,2022.32861879,27693,37622,82251,185234,21,109566,236529,4803,842.40766,233484,74,61.39,54.66,101.66,NA
2018-2019,Sep,04,ASSAM,0430,CHARAIDEO,0,164.308144037171,10,18,15.4448015,419,0,1511,108472,1854,1195,3012,2095,0,193.6731315,10430,12439,37905,74147,6,64888,113128,1930,178.22833,42761,55,71.26,58.68,110.08,NA
2018-2019,Sep,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,0,122.606438407146,14,1,101.27072694,11,9,595,32244,220,514,897,75,0,140.80394694,2276,2362,14689,21587,0,38982,55512,606,39.53322,13414,61,84.66,83.56,364.22,NA
2019-2020,April,04,ASSAM,0403,BONGAIGAON,129334,113.042066637766,11,15,20.23833368,242,20,1984,129176,6521,11509,1595,2513,9,175.26155368,11443,16029,61731,165549,0,120081,294695,2226,146.02322,52892,56,50.9,68.84,108.26,NA
2019-2020,April,04,ASSAM,0405,BARPETA,233488,248.03003516274,13,117,0,501,43,7636,232917,7149,10803,4444,4278,0,577.704117,17218,25652,160226,374466,0,295254,627788,8137,577.704117,85961,49,41.02,59.61,117.98,NA
2019-2020,April,04,ASSAM,0406,NALBARI,323066,130.876519015799,13,13,0,69,7,3094,322495,7049,6161,5060,4009,0,422.07023,23842,29142,93256,166022,0,155582,259625,3163,422.07023,121023,42,52.7,71.97,100.38,NA
2019-2020,April,04,ASSAM,0409,SONITPUR,220943,111.921196478065,9,15,0,37,0,2791,220447,8094,6618,13054,12915,0,246.72692,23536,24132,101243,183013,0,162998,261430,2828,246.72692,94805,56,73.37,85.83,100.92,NA
2019-2020,April,04,ASSAM,0414,GOLAGHAT,240662,137.534098702724,9,19,0,255,2,5940,240581,14599,13444,32306,33966,0,330.88091,26670,32767,121093,253823,0,174045,348397,6195,330.88091,96680,81,73.53,75.07,100.13,NA
2019-2020,April,04,ASSAM,0415,JORHAT,67900,110.324315169367,6,9,0,26,8,1599,67900,4606,7709,9568,12106,0,74.91021,9967,10885,75555,124777,0,135601,202428,1625,74.91021,30789,19,62.97,73.42,102.72,NA
2019-2020,April,04,ASSAM,0430,CHARAIDEO,31241,106.850936449496,7,9,14.172462964,33,17,995,31235,389,1258,1220,2083,0,47.547352964,3963,4869,38511,75229,0,67179,116850,1028,33.37489,15219,43,59.01,70.61,101.14,NA
2018-2019,Aug,04,ASSAM,0401,DHUBRI,1686138,234.469108470981,23,72,1529.774596697,364,1,10925,649547,8382,2982,403,162,23.89488,3076.656536697,28011,56502,98219,295403,7,201149,498622,11289,1522.98706,251987,84,66.76,56.82,144.31,NA
2018-2019,Aug,04,ASSAM,0406,NALBARI,914499,183.260184404711,24,24,583.786319797,1509,0,4586,849436,26338,5345,15438,3433,0,2140.464299797,34381,42263,74164,136843,237,147238,248090,6095,1556.67798,280406,52,57.09,56.41,101.09,NA
2018-2019,Aug,04,ASSAM,0407,KAMRUP,1116531,195.809204753487,19,56,255.152456821,1256,0,10136,921513,69501,21166,108034,36149,15.13,2074.689733821,48468,57456,119630,267543,1,255874,543695,11392,1804.407277,292968,79,92.76,69.9,104.9,NA
2018-2019,Aug,04,ASSAM,0409,SONITPUR,1331795,185.630777873722,14,23,131.739990648,948,0,3825,288363,13813,6478,25636,12395,0,667.030470648,20354,20763,93849,167064,0,154288,248938,4773,535.29048,114460,70,77.43,52.18,106.86,NA
2018-2019,Aug,04,ASSAM,0413,NAGAON,1851877,174.730317662817,23,79,1437.962399724,1148,0,7131,1443858,70677,15825,33600,13130,45.22687,4006.046939724,60952,79094,159290,269862,101,249532,400626,8279,2522.85767,513759,62,66.78,65.37,100.18,NA
2018-2019,Aug,04,ASSAM,0415,JORHAT,839697,186.421188736922,14,25,240.182590029001,2178,0,2007,247641,19210,7676,35840,11883,18.1019,719.939786029001,17015,18628,72526,120623,3,129618,195315,4185,461.655296,102381,61,88.11,62.48,101.08,NA
2018-2019,Aug,04,ASSAM,0416,SIVASAGAR,722821,189.924874429361,15,11,24.818619464,631,2,1762,83021,4678,5276,15908,10533,12.31,194.806149464,5463,6839,57035,120025,0,103713,193281,2393,157.67753,27470,56,90.48,59.89,103.11,NA
2018-2019,Aug,04,ASSAM,0417,DIBRUGARH,808188,188.517688043219,14,53,542.245794883,1402,0,3481,339297,13833,8495,51314,27631,26.49822,1208.378874883,23776,30060,117008,231134,10,173444,310569,4883,639.63486,149535,54,81.36,69.54,103.42,NA
